Date,Id,Nominal,Value,VunitRate
10.02.2022,R01035,1,"101,4608","101,4608"
11.02.2022,R01035,1,"101,2736","101,2736"
12.02.2022,R01035,1,"101,6295","101,6295"
15.02.2022,R01035,1,"103,4621","103,4621"
16.02.2022,R01035,1,"103,2887","103,2887"
17.02.2022,R01035,1,"101,6891","101,6891"
18.02.2022,R01035,1,"102,8494","102,8494"
19.02.2022,R01035,1,"103,2786","103,2786"
22.02.2022,R01035,1,"104,6259","104,6259"
23.02.2022,R01035,1,"109,2015","109,2015"
25.02.2022,R01035,1,"117,1539","117,1539"
26.02.2022,R01035,1,"111,8213","111,8213"
01.03.2022,R01035,1,"125,0415","125,0415"
02.03.2022,R01035,1,"123,1411","123,1411"
03.03.2022,R01035,1,"137,2898","137,2898"
04.03.2022,R01035,1,"149,7424","149,7424"
05.03.2022,R01035,1,"140,9421","140,9421"
06.03.2022,R01035,1,"139,9581","139,9581"
10.03.2022,R01035,1,"152,4773","152,4773"
11.03.2022,R01035,1,"158,3338","158,3338"
12.03.2022,R01035,1,"153,5635","153,5635"
15.03.2022,R01035,1,"151,5177","151,5177"
16.03.2022,R01035,1,"145,7631","145,7631"
17.03.2022,R01035,1,"141,3646","141,3646"
18.03.2022,R01035,1,"137,3839","137,3839"
19.03.2022,R01035,1,"136,3024","136,3024"
22.03.2022,R01035,1,"138,0021","138,0021"
23.03.2022,R01035,1,"138,0023","138,0023"
24.03.2022,R01035,1,"136,0395","136,0395"
25.03.2022,R01035,1,"126,6940","126,694"
26.03.2022,R01035,1,"126,1110","126,111"
29.03.2022,R01035,1,"122,7165","122,7165"
30.03.2022,R01035,1,"113,3603","113,3603"
31.03.2022,R01035,1,"110,6224","110,6224"
01.04.2022,R01035,1,"109,5586","109,5586"
02.04.2022,R01035,1,"109,2663","109,2663"
05.04.2022,R01035,1,"109,5907","109,5907"
06.04.2022,R01035,1,"109,3245","109,3245"
07.04.2022,R01035,1,"108,3249","108,3249"
08.04.2022,R01035,1,"99,8479","99,8479"
09.04.2022,R01035,1,"97,7991","97,7991"
12.04.2022,R01035,1,"102,9629","102,9629"
13.04.2022,R01035,1,"103,8421","103,8421"
14.04.2022,R01035,1,"104,1046","104,1046"
